"County","Year","AidAmount"
"Albany","2010",507965078
"Albany","2011",454186662
"Albany","2012",453440188
"Albany","2013",470082918
"Albany","2014",491807568
"Albany","2015",517514830
"Albany","2016",548571848
"Albany","2017",571534462
"Albany","2018",585125656
"Albany","2019",625716928
"Allegany","2010",209542762
"Allegany","2011",200035716
"Allegany","2012",205745046
"Allegany","2013",211990692
"Allegany","2014",220703626
"Allegany","2015",226182922
"Allegany","2016",236421046
"Allegany","2017",241914560
"Allegany","2018",249880272
"Allegany","2019",253396984
"Broome","2010",534963544
"Broome","2011",477386116
"Broome","2012",491328928
"Broome","2013",522925914
"Broome","2014",538636192
"Broome","2015",566837926
"Broome","2016",595775346
"Broome","2017",622968548
"Broome","2018",638728240
"Broome","2019",656773410
"Cattaraugus","2010",344807360
"Cattaraugus","2011",326275388
"Cattaraugus","2012",333104242
"Cattaraugus","2013",341298388
"Cattaraugus","2014",353655812
"Cattaraugus","2015",371564300
"Cattaraugus","2016",385489866
"Cattaraugus","2017",390802254
"Cattaraugus","2018",400644962
"Cattaraugus","2019",410536676
"Cayuga","2010",209237958
"Cayuga","2011",179755666
"Cayuga","2012",181934670
"Cayuga","2013",194385984
"Cayuga","2014",203673190
"Cayuga","2015",210104754
"Cayuga","2016",218482840
"Cayuga","2017",224502444
"Cayuga","2018",228845456
"Cayuga","2019",244582740
"Chautauqua","2010",463963996
"Chautauqua","2011",421937516
"Chautauqua","2012",442394806
"Chautauqua","2013",444571018
"Chautauqua","2014",465751956
"Chautauqua","2015",484341600
"Chautauqua","2016",505720190
"Chautauqua","2017",535166924
"Chautauqua","2018",550308912
"Chautauqua","2019",558899586
"Chemung","2010",260194982
"Chemung","2011",226497150
"Chemung","2012",232029558
"Chemung","2013",239335124
"Chemung","2014",244807382
"Chemung","2015",261858928
"Chemung","2016",271525710
"Chemung","2017",274561662
"Chemung","2018",276772400
"Chemung","2019",284636624
"Chenango","2010",236367296
"Chenango","2011",220652794
"Chenango","2012",224939874
"Chenango","2013",233269652
"Chenango","2014",248307338
"Chenango","2015",244855576
"Chenango","2016",250375592
"Chenango","2017",255865086
"Chenango","2018",259812396
"Chenango","2019",272362068
"Clinton","2010",250620268
"Clinton","2011",225037748
"Clinton","2012",228440634
"Clinton","2013",239623438
"Clinton","2014",249518232
"Clinton","2015",259976722
"Clinton","2016",269367718
"Clinton","2017",275205850
"Clinton","2018",280371896
"Clinton","2019",289182398
"Columbia","2010",127697158
"Columbia","2011",108844822
"Columbia","2012",111544116
"Columbia","2013",114335746
"Columbia","2014",120853164
"Columbia","2015",124311338
"Columbia","2016",127893202
"Columbia","2017",131789748
"Columbia","2018",134703030
"Columbia","2019",136262390
"Cortland","2010",152436906
"Cortland","2011",140822596
"Cortland","2012",143301932
"Cortland","2013",147370540
"Cortland","2014",150004376
"Cortland","2015",156109270
"Cortland","2016",164710890
"Cortland","2017",169163154
"Cortland","2018",173386468
"Cortland","2019",178860884
"Delaware","2010",141474722
"Delaware","2011",129088882
"Delaware","2012",130189034
"Delaware","2013",135805666
"Delaware","2014",141501920
"Delaware","2015",148428772
"Delaware","2016",149806542
"Delaware","2017",152020946
"Delaware","2018",158185306
"Delaware","2019",161555242
"Dutchess","2010",549854902
"Dutchess","2011",472360668
"Dutchess","2012",493615318
"Dutchess","2013",513203588
"Dutchess","2014",536314994
"Dutchess","2015",557227556
"Dutchess","2016",599157316
"Dutchess","2017",623764248
"Dutchess","2018",634827414
"Dutchess","2019",650817274
"Erie","2010",2444285456
"Erie","2011",2228749700
"Erie","2012",2319289400
"Erie","2013",2341153432
"Erie","2014",2438922970
"Erie","2015",2559218136
"Erie","2016",2676917540
"Erie","2017",2754659114
"Erie","2018",2838048936
"Erie","2019",2922071408
"Essex","2010",72579768
"Essex","2011",64788874
"Essex","2012",67543488
"Essex","2013",70344022
"Essex","2014",73967040
"Essex","2015",75798552
"Essex","2016",78569668
"Essex","2017",81113426
"Essex","2018",82172676
"Essex","2019",84656904
"Franklin","2010",182799516
"Franklin","2011",174209440
"Franklin","2012",182264842
"Franklin","2013",190014746
"Franklin","2014",199764296
"Franklin","2015",201203800
"Franklin","2016",208336156
"Franklin","2017",217493104
"Franklin","2018",220906258
"Franklin","2019",226511994
"Fulton","2010",186935788
"Fulton","2011",176026338
"Fulton","2012",176827668
"Fulton","2013",183649826
"Fulton","2014",179683134
"Fulton","2015",185138814
"Fulton","2016",192740310
"Fulton","2017",196334186
"Fulton","2018",208059956
"Fulton","2019",225105444
"Genesee","2010",200025978
"Genesee","2011",180485572
"Genesee","2012",184054738
"Genesee","2013",191061926
"Genesee","2014",193140888
"Genesee","2015",201202906
"Genesee","2016",211165178
"Genesee","2017",216959732
"Genesee","2018",215411412
"Genesee","2019",219879096
"Greene","2010",110263540
"Greene","2011",94558936
"Greene","2012",96803410
"Greene","2013",102560412
"Greene","2014",107123072
"Greene","2015",110665364
"Greene","2016",113957252
"Greene","2017",117004298
"Greene","2018",118433406
"Greene","2019",123816994
"Hamilton","2010",6405246
"Hamilton","2011",5083058
"Hamilton","2012",5061194
"Hamilton","2013",5662824
"Hamilton","2014",6127270
"Hamilton","2015",6233508
"Hamilton","2016",6351634
"Hamilton","2017",6478688
"Hamilton","2018",6563672
"Hamilton","2019",6655156
"Herkimer","2010",276338654
"Herkimer","2011",270456570
"Herkimer","2012",276603228
"Herkimer","2013",302519422
"Herkimer","2014",241242344
"Herkimer","2015",242393810
"Herkimer","2016",251685374
"Herkimer","2017",256268104
"Herkimer","2018",268994304
"Herkimer","2019",271799724
"Jefferson","2010",360322980
"Jefferson","2011",343475956
"Jefferson","2012",353461144
"Jefferson","2013",363562932
"Jefferson","2014",382566094
"Jefferson","2015",392565640
"Jefferson","2016",405754326
"Jefferson","2017",422611888
"Jefferson","2018",436767998
"Jefferson","2019",456883970
"Lewis","2010",107142580
"Lewis","2011",106631146
"Lewis","2012",107614550
"Lewis","2013",109760710
"Lewis","2014",108722104
"Lewis","2015",110474030
"Lewis","2016",110009518
"Lewis","2017",114175872
"Lewis","2018",118348410
"Lewis","2019",122832794
"Livingston","2010",187822174
"Livingston","2011",164013856
"Livingston","2012",167453136
"Livingston","2013",174340152
"Livingston","2014",184172168
"Livingston","2015",190966344
"Livingston","2016",199582608
"Livingston","2017",203797916
"Livingston","2018",194836060
"Livingston","2019",198185632
"Madison","2010",206119804
"Madison","2011",180416514
"Madison","2012",183195626
"Madison","2013",192240056
"Madison","2014",200423298
"Madison","2015",208588098
"Madison","2016",214331884
"Madison","2017",218959202
"Madison","2018",226735286
"Madison","2019",232556882
"Monroe","2010",1937776332
"Monroe","2011",1771164118
"Monroe","2012",1825675286
"Monroe","2013",1913642822
"Monroe","2014",2014124070
"Monroe","2015",2128538476
"Monroe","2016",2292033342
"Monroe","2017",2361829244
"Monroe","2018",2430894172
"Monroe","2019",2543100906
"Montgomery","2010",180453738
"Montgomery","2011",166871670
"Montgomery","2012",173824404
"Montgomery","2013",193712086
"Montgomery","2014",185172026
"Montgomery","2015",188106216
"Montgomery","2016",199653284
"Montgomery","2017",206520024
"Montgomery","2018",217864180
"Montgomery","2019",228543064
"Nassau","2010",1768046652
"Nassau","2011",1562747376
"Nassau","2012",1640521024
"Nassau","2013",1722549224
"Nassau","2014",1817955942
"Nassau","2015",1938729026
"Nassau","2016",2095557938
"Nassau","2017",2197359808
"Nassau","2018",2293423114
"Nassau","2019",2398410776
"New York City","2010",16690039314
"New York City","2011",15324692054
"New York City","2012",15833510022
"New York City","2013",16565541264
"New York City","2014",17379894308
"New York City","2015",18459836542
"New York City","2016",19352298326
"New York City","2017",20340946860
"New York City","2018",21089134634
"New York City","2019",22535724794
"Niagara","2010",596348366
"Niagara","2011",523685244
"Niagara","2012",531924576
"Niagara","2013",547475268
"Niagara","2014",574060668
"Niagara","2015",604879434
"Niagara","2016",634593040
"Niagara","2017",658339154
"Niagara","2018",676288280
"Niagara","2019",698698118
"Oneida","2010",682945842
"Oneida","2011",623868616
"Oneida","2012",661436426
"Oneida","2013",682054816
"Oneida","2014",708999502
"Oneida","2015",773642544
"Oneida","2016",800269990
"Oneida","2017",842772184
"Oneida","2018",857918156
"Oneida","2019",891459540
"Onondaga","2010",1256108172
"Onondaga","2011",1118026698
"Onondaga","2012",1176517582
"Onondaga","2013",1203842310
"Onondaga","2014",1245340132
"Onondaga","2015",1321423846
"Onondaga","2016",1402326316
"Onondaga","2017",1447794094
"Onondaga","2018",1487755250
"Onondaga","2019",1569214356
"Ontario","2010",280281868
"Ontario","2011",245286254
"Ontario","2012",251035328
"Ontario","2013",259285854
"Ontario","2014",275894444
"Ontario","2015",290123598
"Ontario","2016",300488092
"Ontario","2017",307636718
"Ontario","2018",309502594
"Ontario","2019",316374888
"Orange","2010",1046622908
"Orange","2011",922852386
"Orange","2012",970808822
"Orange","2013",995540854
"Orange","2014",1049158026
"Orange","2015",1118037572
"Orange","2016",1170632550
"Orange","2017",1212233976
"Orange","2018",1248498150
"Orange","2019",1313038212
"Orleans","2010",157949868
"Orleans","2011",144026820
"Orleans","2012",149505232
"Orleans","2013",158374460
"Orleans","2014",161760488
"Orleans","2015",165495260
"Orleans","2016",178018882
"Orleans","2017",177882148
"Orleans","2018",181664298
"Orleans","2019",188810998
"Oswego","2010",438511962
"Oswego","2011",421346622
"Oswego","2012",425470720
"Oswego","2013",445383142
"Oswego","2014",459135644
"Oswego","2015",483600332
"Oswego","2016",505019270
"Oswego","2017",516935738
"Oswego","2018",543178696
"Oswego","2019",556394266
"Otsego","2010",176514626
"Otsego","2011",166201260
"Otsego","2012",165331986
"Otsego","2013",172290608
"Otsego","2014",178235058
"Otsego","2015",184963770
"Otsego","2016",190984426
"Otsego","2017",194168948
"Otsego","2018",197307068
"Otsego","2019",203793824
"Putnam","2010",169233622
"Putnam","2011",150487814
"Putnam","2012",154389210
"Putnam","2013",161935100
"Putnam","2014",166447086
"Putnam","2015",176166992
"Putnam","2016",184321020
"Putnam","2017",189821312
"Putnam","2018",193647356
"Putnam","2019",190233118
"Rensselaer","2010",395646192
"Rensselaer","2011",340549204
"Rensselaer","2012",345296804
"Rensselaer","2013",352419226
"Rensselaer","2014",384809546
"Rensselaer","2015",396989734
"Rensselaer","2016",414248198
"Rensselaer","2017",423750388
"Rensselaer","2018",441267344
"Rensselaer","2019",458022286
"Rockland","2010",386125672
"Rockland","2011",330295586
"Rockland","2012",342654518
"Rockland","2013",367959024
"Rockland","2014",402038008
"Rockland","2015",424076122
"Rockland","2016",455564014
"Rockland","2017",474985270
"Rockland","2018",494334712
"Rockland","2019",514189348
"Saratoga","2010",423875040
"Saratoga","2011",360077050
"Saratoga","2012",369580076
"Saratoga","2013",385781726
"Saratoga","2014",403205354
"Saratoga","2015",427401350
"Saratoga","2016",452443912
"Saratoga","2017",464117568
"Saratoga","2018",461023404
"Saratoga","2019",468161374
"Schenectady","2010",355347284
"Schenectady","2011",323429386
"Schenectady","2012",328317136
"Schenectady","2013",340720874
"Schenectady","2014",353628830
"Schenectady","2015",371448998
"Schenectady","2016",399832308
"Schenectady","2017",427906786
"Schenectady","2018",439557292
"Schenectady","2019",471133774
"Schoharie","2010",109278004
"Schoharie","2011",94832766
"Schoharie","2012",105095970
"Schoharie","2013",100650938
"Schoharie","2014",103936812
"Schoharie","2015",109109678
"Schoharie","2016",110871818
"Schoharie","2017",113476258
"Schoharie","2018",112924664
"Schoharie","2019",116837564
"Schuyler","2010",48529446
"Schuyler","2011",43608442
"Schuyler","2012",44395242
"Schuyler","2013",44637770
"Schuyler","2014",50309566
"Schuyler","2015",52032280
"Schuyler","2016",53403564
"Schuyler","2017",55398246
"Schuyler","2018",57278784
"Schuyler","2019",55280552
"Seneca","2010",108565448
"Seneca","2011",101146438
"Seneca","2012",101590032
"Seneca","2013",106226828
"Seneca","2014",110810200
"Seneca","2015",115272506
"Seneca","2016",120248162
"Seneca","2017",123722704
"Seneca","2018",125705068
"Seneca","2019",129364094
"St. Lawrence","2010",391775556
"St. Lawrence","2011",353660560
"St. Lawrence","2012",362880470
"St. Lawrence","2013",380251676
"St. Lawrence","2014",400415678
"St. Lawrence","2015",422866592
"St. Lawrence","2016",438110496
"St. Lawrence","2017",453525392
"St. Lawrence","2018",467598542
"St. Lawrence","2019",482728194
"Steuben","2010",376871586
"Steuben","2011",355837406
"Steuben","2012",367901450
"Steuben","2013",388840168
"Steuben","2014",411547850
"Steuben","2015",417568786
"Steuben","2016",430879788
"Steuben","2017",445023832
"Steuben","2018",461351350
"Steuben","2019",463715214
"Suffolk","2010",3509350592
"Suffolk","2011",3108268716
"Suffolk","2012",3225135840
"Suffolk","2013",3354785482
"Suffolk","2014",3499453062
"Suffolk","2015",3675913512
"Suffolk","2016",3913519428
"Suffolk","2017",4019996694
"Suffolk","2018",4117987634
"Suffolk","2019",4235019416
"Sullivan","2010",214782908
"Sullivan","2011",191187264
"Sullivan","2012",194098072
"Sullivan","2013",201785880
"Sullivan","2014",216321974
"Sullivan","2015",227868144
"Sullivan","2016",241336526
"Sullivan","2017",253700854
"Sullivan","2018",261320116
"Sullivan","2019",270454874
"Tioga","2010",177008582
"Tioga","2011",164622548
"Tioga","2012",168224986
"Tioga","2013",174817998
"Tioga","2014",181676254
"Tioga","2015",189899568
"Tioga","2016",197571378
"Tioga","2017",203649300
"Tioga","2018",209480858
"Tioga","2019",219189874
"Tompkins","2010",180111604
"Tompkins","2011",162206688
"Tompkins","2012",163917620
"Tompkins","2013",171691482
"Tompkins","2014",180129040
"Tompkins","2015",193903398
"Tompkins","2016",196789170
"Tompkins","2017",200855812
"Tompkins","2018",202608830
"Tompkins","2019",210702718
"Ulster","2010",376754950
"Ulster","2011",331397830
"Ulster","2012",333895954
"Ulster","2013",347224994
"Ulster","2014",361271014
"Ulster","2015",383639386
"Ulster","2016",408869236
"Ulster","2017",433117136
"Ulster","2018",446175688
"Ulster","2019",454859370
"Warren","2010",140616028
"Warren","2011",117730780
"Warren","2012",119436748
"Warren","2013",124725902
"Warren","2014",130878990
"Warren","2015",138388944
"Warren","2016",147971822
"Warren","2017",152418628
"Warren","2018",151953988
"Warren","2019",157651028
"Washington","2010",205359092
"Washington","2011",184420034
"Washington","2012",187805194
"Washington","2013",199669586
"Washington","2014",205521294
"Washington","2015",214150454
"Washington","2016",220369496
"Washington","2017",228446656
"Washington","2018",229996820
"Washington","2019",235733438
"Wayne","2010",326124278
"Wayne","2011",284936674
"Wayne","2012",300992204
"Wayne","2013",306733792
"Wayne","2014",322597010
"Wayne","2015",335631788
"Wayne","2016",353278638
"Wayne","2017",368623292
"Wayne","2018",367774744
"Wayne","2019",391446220
"Westchester","2010",1264328364
"Westchester","2011",1099002080
"Westchester","2012",1143327448
"Westchester","2013",1204214960
"Westchester","2014",1298520062
"Westchester","2015",1412190538
"Westchester","2016",1502938996
"Westchester","2017",1557904418
"Westchester","2018",1612310856
"Westchester","2019",1717151822
"Wyoming","2010",113226736
"Wyoming","2011",95574900
"Wyoming","2012",97479694
"Wyoming","2013",100502128
"Wyoming","2014",103567638
"Wyoming","2015",109225320
"Wyoming","2016",110026198
"Wyoming","2017",109933116
"Wyoming","2018",112234844
"Wyoming","2019",117100268
"Yates","2010",47654328
"Yates","2011",43153958
"Yates","2012",45581372
"Yates","2013",45950586
"Yates","2014",47342330
"Yates","2015",49844834
"Yates","2016",51145536
"Yates","2017",52406398
"Yates","2018",52961706
"Yates","2019",54989946
