,County,Year,AidAmount,Population,JailPopulation,CrimesReported
0,Albany,2010,253982539.0,304086,698,20890.0
1,Albany,2011,227093331.0,304596,614,20290.0
2,Albany,2012,226720094.0,305723,622,18940.0
3,Albany,2013,235041459.0,306589,629,17908.0
4,Albany,2014,245903784.0,307151,621,17363.0
5,Albany,2015,258757415.0,307433,578,16247.0
6,Albany,2016,274285924.0,307597,571,16439.0
7,Albany,2017,285767231.0,307717,576,16411.0
8,Albany,2018,292562828.0,306585,587,15619.0
9,Albany,2019,312858464.0,305506,416,15033.0
10,Allegany,2010,104771381.0,48971,138,1593.0
11,Allegany,2011,100017858.0,48800,129,1726.0
12,Allegany,2012,102872523.0,48210,135,1653.0
13,Allegany,2013,105995346.0,47900,131,1538.0
14,Allegany,2014,110351813.0,47652,124,1162.0
15,Allegany,2015,113091461.0,47334,116,1101.0
16,Allegany,2016,118210523.0,47044,122,1061.0
17,Allegany,2017,120957280.0,46639,111,936.0
18,Allegany,2018,124940136.0,46332,107,839.0
19,Allegany,2019,126698492.0,46091,84,851.0
20,Broome,2010,267481772.0,200481,446,11915.0
21,Broome,2011,238693058.0,199363,459,12765.0
22,Broome,2012,245664464.0,198667,501,13190.0
23,Broome,2013,261462957.0,197914,517,12900.0
24,Broome,2014,269318096.0,197251,481,12140.0
25,Broome,2015,283418963.0,195928,492,12295.0
26,Broome,2016,297887673.0,194498,517,10208.0
27,Broome,2017,311484274.0,193100,500,10471.0
28,Broome,2018,319364120.0,191925,457,9666.0
29,Broome,2019,328386705.0,190488,441,9717.0
30,Cattaraugus,2010,172403680.0,80218,110,3857.0
31,Cattaraugus,2011,163137694.0,79815,127,3688.0
32,Cattaraugus,2012,166552121.0,79348,118,4025.0
33,Cattaraugus,2013,170649194.0,78996,120,3427.0
34,Cattaraugus,2014,176827906.0,78677,129,2761.0
35,Cattaraugus,2015,185782150.0,77926,128,2471.0
36,Cattaraugus,2016,192744933.0,77658,134,2384.0
37,Cattaraugus,2017,195401127.0,77176,131,2214.0
38,Cattaraugus,2018,200322481.0,76726,133,2060.0
39,Cattaraugus,2019,205268338.0,76117,135,1705.0
40,Cayuga,2010,104618979.0,79895,184,3372.0
41,Cayuga,2011,89877833.0,79693,192,3252.0
42,Cayuga,2012,90967335.0,79505,190,3475.0
43,Cayuga,2013,97192992.0,79088,191,2906.0
44,Cayuga,2014,101836595.0,78762,183,2974.0
45,Cayuga,2015,105052377.0,78298,163,2910.0
46,Cayuga,2016,109241420.0,77674,164,2672.0
47,Cayuga,2017,112251222.0,77457,156,2492.0
48,Cayuga,2018,114422728.0,77121,156,2279.0
49,Cayuga,2019,122291370.0,76576,145,2272.0
50,Chautauqua,2010,231981998.0,134725,281,7418.0
51,Chautauqua,2011,210968758.0,134209,272,7071.0
52,Chautauqua,2012,221197403.0,133304,287,7386.0
53,Chautauqua,2013,222285509.0,132852,279,7000.0
54,Chautauqua,2014,232875978.0,131751,283,6774.0
55,Chautauqua,2015,242170800.0,130529,268,6266.0
56,Chautauqua,2016,252860095.0,129206,275,6300.0
57,Chautauqua,2017,267583462.0,128372,282,5234.0
58,Chautauqua,2018,275154456.0,127472,260,4948.0
59,Chautauqua,2019,279449793.0,126903,236,5283.0
60,Chemung,2010,130097491.0,88895,181,3957.0
61,Chemung,2011,113248575.0,88899,163,4379.0
62,Chemung,2012,116014779.0,89137,189,4646.0
63,Chemung,2013,119667562.0,88199,187,4251.0
64,Chemung,2014,122403691.0,87177,160,4121.0
65,Chemung,2015,130929464.0,86705,167,3647.0
66,Chemung,2016,135762855.0,85644,150,3956.0
67,Chemung,2017,137280831.0,84736,164,2991.0
68,Chemung,2018,138386200.0,83935,155,2742.0
69,Chemung,2019,142318312.0,83456,132,3068.0
70,Chenango,2010,118183648.0,50399,90,1912.0
71,Chenango,2011,110326397.0,50182,98,2087.0
72,Chenango,2012,112469937.0,49883,84,1988.0
73,Chenango,2013,116634826.0,49477,104,1804.0
74,Chenango,2014,124153669.0,49319,99,1768.0
75,Chenango,2015,122427788.0,48772,95,1597.0
76,Chenango,2016,125187796.0,48315,99,1833.0
77,Chenango,2017,127932543.0,47805,98,1347.0
78,Chenango,2018,129906198.0,47445,93,1339.0
79,Chenango,2019,136181034.0,47207,87,1457.0
80,Clinton,2010,125310134.0,82096,204,3573.0
81,Clinton,2011,112518874.0,81728,207,3306.0
82,Clinton,2012,114220317.0,81714,209,3280.0
83,Clinton,2013,119811719.0,81523,221,3221.0
84,Clinton,2014,124759116.0,81463,216,2548.0
85,Clinton,2015,129988361.0,80718,187,2387.0
86,Clinton,2016,134683859.0,80500,208,2655.0
87,Clinton,2017,137602925.0,80531,207,2295.0
88,Clinton,2018,140185948.0,80679,217,2146.0
89,Clinton,2019,144591199.0,80485,176,2212.0
90,Columbia,2010,63848579.0,63036,97,2332.0
91,Columbia,2011,54422411.0,62528,90,2372.0
92,Columbia,2012,55772058.0,62449,90,2750.0
93,Columbia,2013,57167873.0,62170,75,2178.0
94,Columbia,2014,60426582.0,61942,72,1805.0
95,Columbia,2015,62155669.0,61434,68,1687.0
96,Columbia,2016,63946601.0,60835,83,1572.0
97,Columbia,2017,65894874.0,60338,81,1805.0
98,Columbia,2018,67351515.0,59785,70,1682.0
99,Columbia,2019,68131195.0,59461,68,1334.0
100,Cortland,2010,76218453.0,49279,69,2067.0
101,Cortland,2011,70411298.0,49380,64,2134.0
102,Cortland,2012,71650966.0,49023,68,2146.0
103,Cortland,2013,73685270.0,48905,73,2077.0
104,Cortland,2014,75002188.0,48740,76,2113.0
105,Cortland,2015,78054635.0,48290,89,1451.0
106,Cortland,2016,82355445.0,47915,91,1597.0
107,Cortland,2017,84581577.0,47815,93,1939.0
108,Cortland,2018,86693234.0,47722,92,1492.0
109,Cortland,2019,89430442.0,47581,76,1393.0
110,Delaware,2010,70737361.0,47888,66,1469.0
111,Delaware,2011,64544441.0,47584,59,1550.0
112,Delaware,2012,65094517.0,47215,64,1463.0
113,Delaware,2013,67902833.0,46803,71,1556.0
114,Delaware,2014,70750960.0,46562,83,1480.0
115,Delaware,2015,74214386.0,45891,75,1402.0
116,Delaware,2016,74903271.0,45393,80,1244.0
117,Delaware,2017,76010473.0,45028,81,981.0
118,Delaware,2018,79092653.0,44526,68,1091.0
119,Delaware,2019,80777621.0,44135,58,1016.0
120,Dutchess,2010,274927451.0,297728,380,11150.0
121,Dutchess,2011,236180334.0,298133,411,10729.0
122,Dutchess,2012,246807659.0,297023,446,11122.0
123,Dutchess,2013,256601794.0,296268,444,9658.0
124,Dutchess,2014,268157497.0,295127,469,9103.0
125,Dutchess,2015,278613778.0,294039,434,8478.0
126,Dutchess,2016,299578658.0,293029,401,7666.0
127,Dutchess,2017,311882124.0,293545,423,7617.0
128,Dutchess,2018,317413707.0,293939,379,6780.0
129,Dutchess,2019,325408637.0,294218,313,6530.0
130,Erie,2010,1222142728.0,919152,1335,60608.0
131,Erie,2011,1114374850.0,919843,1297,58621.0
132,Erie,2012,1159644700.0,919906,1326,58709.0
133,Erie,2013,1170576716.0,920869,1284,54501.0
134,Erie,2014,1219461485.0,921755,1171,52894.0
135,Erie,2015,1279609068.0,920644,1201,48394.0
136,Erie,2016,1338458770.0,918678,1183,47840.0
137,Erie,2017,1377329557.0,919034,1070,43275.0
138,Erie,2018,1419024468.0,919717,958,42269.0
139,Erie,2019,1461035704.0,918702,852,38514.0
140,Essex,2010,36289884.0,39360,71,1009.0
141,Essex,2011,32394437.0,39271,73,1187.0
142,Essex,2012,33771744.0,38875,66,991.0
143,Essex,2013,35172011.0,38601,79,855.0
144,Essex,2014,36983520.0,38323,81,638.0
145,Essex,2015,37899276.0,37965,62,718.0
146,Essex,2016,39284834.0,37671,70,736.0
147,Essex,2017,40556713.0,37487,72,777.0
148,Essex,2018,41086338.0,37288,73,534.0
149,Essex,2019,42328452.0,36885,71,610.0
150,Franklin,2010,91399758.0,51645,114,1829.0
151,Franklin,2011,87104720.0,51545,117,1885.0
152,Franklin,2012,91132421.0,51791,114,2027.0
153,Franklin,2013,95007373.0,51212,116,1691.0
154,Franklin,2014,99882148.0,51096,116,1647.0
155,Franklin,2015,100601900.0,50540,106,1594.0
156,Franklin,2016,104168078.0,51081,110,1304.0
157,Franklin,2017,108746552.0,50465,93,1276.0
158,Franklin,2018,110453129.0,50279,91,965.0
159,Franklin,2019,113255997.0,50022,81,936.0
160,Fulton,2010,93467894.0,55455,75,3255.0
161,Fulton,2011,88013169.0,55112,84,3149.0
162,Fulton,2012,88413834.0,54845,82,3066.0
163,Fulton,2013,91824913.0,54345,92,2992.0
164,Fulton,2014,89841567.0,53932,90,2867.0
165,Fulton,2015,92569407.0,53801,72,2495.0
166,Fulton,2016,96370155.0,53610,87,2214.0
167,Fulton,2017,98167093.0,53802,86,2058.0
168,Fulton,2018,104029978.0,53633,100,1743.0
169,Fulton,2019,112552722.0,53383,82,1897.0
170,Genesee,2010,100012989.0,59928,77,2817.0
171,Genesee,2011,90242786.0,59880,79,2766.0
172,Genesee,2012,92027369.0,59672,91,2814.0
173,Genesee,2013,95530963.0,59112,88,2825.0
174,Genesee,2014,96570444.0,58725,84,2924.0
175,Genesee,2015,100601453.0,58462,80,2283.0
176,Genesee,2016,105582589.0,58013,92,2399.0
177,Genesee,2017,108479866.0,57798,97,2118.0
178,Genesee,2018,107705706.0,57487,105,1760.0
179,Genesee,2019,109939548.0,57280,104,1893.0
180,Greene,2010,55131770.0,49139,78,1580.0
181,Greene,2011,47279468.0,48857,79,1557.0
182,Greene,2012,48401705.0,48587,70,1354.0
183,Greene,2013,51280206.0,48308,85,1378.0
184,Greene,2014,53561536.0,47964,71,1294.0
185,Greene,2015,55332682.0,47616,76,1095.0
186,Greene,2016,56978626.0,47494,59,1004.0
187,Greene,2017,58502149.0,47442,40,1131.0
188,Greene,2018,59216703.0,47381,48,1104.0
189,Greene,2019,61908497.0,47188,35,999.0
190,Hamilton,2010,3202623.0,4851,2,100.0
191,Hamilton,2011,2541529.0,4826,3,115.0
192,Hamilton,2012,2530597.0,4803,4,161.0
193,Hamilton,2013,2831412.0,4766,5,120.0
194,Hamilton,2014,3063635.0,4700,5,123.0
195,Hamilton,2015,3116754.0,4699,3,83.0
196,Hamilton,2016,3175817.0,4556,2,103.0
197,Hamilton,2017,3239344.0,4471,2,68.0
198,Hamilton,2018,3281836.0,4432,2,89.0
199,Hamilton,2019,3327578.0,4416,2,55.0
200,Herkimer,2010,138169327.0,64470,55,2579.0
201,Herkimer,2011,135228285.0,64386,57,2583.0
202,Herkimer,2012,138301614.0,64227,70,2494.0
203,Herkimer,2013,151259711.0,63883,83,2254.0
204,Herkimer,2014,120621172.0,63384,83,2136.0
205,Herkimer,2015,121196905.0,62652,76,1944.0
206,Herkimer,2016,125842687.0,62436,64,2091.0
207,Herkimer,2017,128134052.0,62163,70,2164.0
208,Herkimer,2018,134497152.0,61713,62,1514.0
209,Herkimer,2019,135899862.0,61319,52,1424.0
210,Jefferson,2010,180161490.0,116592,169,4648.0
211,Jefferson,2011,171737978.0,117752,171,4780.0
212,Jefferson,2012,176730572.0,120235,158,5621.0
213,Jefferson,2013,181781466.0,118490,180,4664.0
214,Jefferson,2014,191283047.0,117971,177,4890.0
215,Jefferson,2015,196282820.0,116371,173,4865.0
216,Jefferson,2016,202877163.0,112980,177,4477.0
217,Jefferson,2017,211305944.0,113157,185,4281.0
218,Jefferson,2018,218383999.0,111866,167,3767.0
219,Jefferson,2019,228441985.0,109834,129,3501.0
220,Lewis,2010,53571290.0,27077,27,899.0
221,Lewis,2011,53315573.0,27027,29,805.0
222,Lewis,2012,53807275.0,27196,28,821.0
223,Lewis,2013,54880355.0,27098,31,640.0
224,Lewis,2014,54361052.0,27089,30,487.0
225,Lewis,2015,55237015.0,26827,31,537.0
226,Lewis,2016,55004759.0,26647,34,442.0
227,Lewis,2017,57087936.0,26605,36,485.0
228,Lewis,2018,59174205.0,26486,31,382.0
229,Lewis,2019,61416397.0,26296,34,290.0
230,Livingston,2010,93911087.0,65240,100,2267.0
231,Livingston,2011,82006928.0,64849,95,2104.0
232,Livingston,2012,83726568.0,64796,104,2336.0
233,Livingston,2013,87170076.0,64627,116,2120.0
234,Livingston,2014,92086084.0,64585,124,1745.0
235,Livingston,2015,95483172.0,64344,132,1693.0
236,Livingston,2016,99791304.0,64000,139,1681.0
237,Livingston,2017,101898958.0,63483,128,1562.0
238,Livingston,2018,97418030.0,63213,132,1212.0
239,Livingston,2019,99092816.0,62914,122,1137.0
240,Madison,2010,103059902.0,73440,86,2537.0
241,Madison,2011,90208257.0,72887,89,2515.0
242,Madison,2012,91597813.0,72414,96,2615.0
243,Madison,2013,96120028.0,72457,89,2257.0
244,Madison,2014,100211649.0,72210,96,2207.0
245,Madison,2015,104294049.0,71636,95,1914.0
246,Madison,2016,107165942.0,71387,80,1934.0
247,Madison,2017,109479601.0,70942,82,1864.0
248,Madison,2018,113367643.0,71117,91,1769.0
249,Madison,2019,116278441.0,70941,90,1561.0
250,Monroe,2010,968888166.0,744580,1401,49549.0
251,Monroe,2011,885582059.0,746751,1350,48671.0
252,Monroe,2012,912837643.0,747344,1342,48148.0
253,Monroe,2013,956821411.0,748290,1312,43466.0
254,Monroe,2014,1007062035.0,747364,1339,40421.0
255,Monroe,2015,1064269238.0,745577,1308,38532.0
256,Monroe,2016,1146016671.0,743770,1318,35046.0
257,Monroe,2017,1180914622.0,742724,1206,35327.0
258,Monroe,2018,1215447086.0,742864,1085,31051.0
259,Monroe,2019,1271550453.0,741770,966,29862.0
260,Montgomery,2010,90226869.0,50307,115,2254.0
261,Montgomery,2011,83435835.0,49911,124,2109.0
262,Montgomery,2012,86912202.0,49829,131,2311.0
263,Montgomery,2013,96856043.0,49743,126,2202.0
264,Montgomery,2014,92586013.0,49679,127,2454.0
265,Montgomery,2015,94053108.0,49564,126,2431.0
266,Montgomery,2016,99826642.0,49169,90,1965.0
267,Montgomery,2017,103260012.0,49163,96,1800.0
268,Montgomery,2018,108932090.0,49394,100,1362.0
269,Montgomery,2019,114271532.0,49221,102,1295.0
270,Nassau,2010,884023326.0,1341669,1607,38296.0
271,Nassau,2011,781373688.0,1346223,1467,36522.0
272,Nassau,2012,820260512.0,1349616,1417,36692.0
273,Nassau,2013,861274612.0,1352193,1294,35255.0
274,Nassau,2014,908977971.0,1354705,1218,33317.0
275,Nassau,2015,969364513.0,1354840,1148,30732.0
276,Nassau,2016,1047778969.0,1355952,1155,28730.0
277,Nassau,2017,1098679904.0,1357293,1188,26380.0
278,Nassau,2018,1146711557.0,1357534,1094,25233.0
279,Nassau,2019,1199205388.0,1356924,1025,25093.0
280,Niagara,2010,298174183.0,216475,468,13583.0
